method,x0_x,x0_y,x_final_x,x_final_y,f_final,nit,grad_norm,success,u,A,g_prime
GD,-90,0,-0.0098870610016773,-10.449281514962461,-2.95607809244205,200,0.01760705975907441,False,-9.459168575964139,0.003331997914098383,0.017453453895845603
GD,-90,10,-0.06963924998876883,-7.4381311752209465,-2.879481301278182,200,0.11062696932481116,False,-6.507770425209715,0.009202026013046384,0.03400867278325453
GD,-90,20,-0.005200141467841996,18.87235935521568,3.032110326625346,200,0.0074471109177329025,False,19.867159213747836,-0.0006676238802107749,0.006029755368966119
GD,-90,30,-0.0020496593460664924,29.531926463424103,3.072545551967167,200,0.002938213817748108,False,30.529876804078036,-0.00016573624864521167,0.002389433954425083
GD,-90,40,-0.0008988362450291928,39.74189010978627,3.0905628940875354,200,0.001394131445098469,False,40.74099127354124,-6.669196274299217e-05,0.0013036752843127008
GD,-90,50,-0.00021043714357343272,49.83603069087444,3.1010222737457345,200,0.0009168260184104459,False,50.835820253730866,-3.346731212346868e-05,0.0008236264965646846
GD,-90,60,0.0005116500860528519,59.886096042917195,3.1078969841726134,200,0.0016896536383545924,False,60.88660769300325,-1.916058064745032e-05,0.0005680160189280191
GD,-90,70,0.00199182592229842,69.91498835548124,3.112773765667303,200,0.0044187777291622155,False,70.91698018140355,-1.1986662416470224e-05,0.00041554355601811847
GD,-90,80,0.009213867591800491,79.92735933057128,3.1164925813328903,200,0.018747656992174663,False,80.93657319816307,-7.994464430319721e-06,0.00031723755654859426
GD,-90,90,-19.503999414648774,19.44503428185645,380.04235298304985,200,38.29357702199029,False,0.9410348672076765,-0.3793601503791791,0.7212140141036361
GD,-90,100,-2.8006076872608393e-05,99.93633342693538,3.1214753772998605,200,0.00024977854162904113,False,100.9363054208585,-4.073145525449536e-06,0.000202391625549587
GD,-80,-100,-0.00016740462161398596,-100.0394426081674,-3.1216961962454786,200,0.00024066008891723104,False,-99.03961001278903,3.940417707160299e-06,0.00019797146412516063
GD,-80,-90,-0.00020992097153558142,-90.04863672911584,-3.1194999200187015,200,0.00030078249027762507,False,-89.04884665008738,5.395354786759182e-06,0.00024410048204059627
GD,-80,-80,-0.0002700165146063482,-80.06146373193211,-3.116759566571181,200,0.00038570594036043613,False,-79.06173374844671,7.663771438148544e-06,0.00030843028888724805
GD,-80,-70,-0.00035859904142864375,-70.08012207183577,-3.113245175416588,200,0.0005108263103929027,False,-69.08048067087721,1.1402701767851719e-05,0.0004019405594139537
GD,-80,-60,-0.0004964166833055974,-60.10876132082449,-3.1085769289592178,200,0.0007054340573137972,False,-59.1092577375078,1.8021914085049395e-05,0.0005452949110248293
GD,-80,-50,-0.0007269156862552898,-50.15599042042942,-3.102081194145493,200,0.0010308700812402846,False,-49.156717336115676,3.090946952891289e-05,0.0007811388111576469
GD,-80,-40,-0.0011539603165317102,-40.242110519348024,-3.0924467628877936,200,0.0016338005092894313,False,-39.24326447966455,5.955148027106382e-05,0.001208984310818184
GD,-80,-30,-0.002079835386453333,-30.424595634275533,-3.0767895915936165,200,0.0029415238183154698,False,-29.426675469661987,0.00013685357509251632,0.0021036251345631016
GD,-80,-20,-0.004734985340999055,-20.91785898286271,-3.0478206204081797,200,0.006711777177738119,False,-19.92259396820371,0.00041707536821312355,0.004412665217011745
GD,-80,-10,-0.021378931882998026,-12.888172374408562,-2.9903950781573325,200,0.033318474975553236,False,-11.90955130629156,0.0017655087190077173,0.011479353160122281
GD,-80,0,-0.009887150722208103,-10.449282969910858,-2.9560781176277016,200,0.017607078987389908,False,-9.459170120633067,0.0033319964221189945,0.017453448749013112
GD,-80,10,-0.0723950793984048,-7.438614311189043,-2.879199983562538,200,0.11590385073723358,False,-6.511009390587447,0.009189721818116864,0.03397888767202299
GD,-80,20,-0.0051362075745958035,18.872277822152014,3.0321095596635144,200,0.007372798235138928,False,19.86714161457742,-0.0006676258417408211,0.006029767118609823
GD,-80,30,-0.0019340907739393582,29.531803172172495,3.0725450731180164,200,0.0028099984695608695,False,30.529869081398555,-0.00016573638210515637,0.002389435234353525
GD,-80,40,-0.0006829084737778413,39.74166840282115,3.09056254501073,200,0.0013051558490375964,False,40.74098549434737,-6.669199235486239e-05,0.0013036756697385687
GD,-80,50,0.0002562717772796638,49.83555772341292,3.1010222899824664,200,0.0015696215837364812,False,50.8358139951902,-3.346732490001266e-05,0.0008236267060212585
GD,-80,60,0.0018370890594262617,59.884760434258375,3.10790009150647,200,0.00428005317431758,False,60.8865975233178,-1.916059051228022e-05,0.0005680162137851474
GD,-80,70,0.009108460002625055,69.90783756203277,3.112852748145706,200,0.018637097156145886,False,70.91694602203539,-1.1986680140118808e-05,0.00041554396547523556
GD,-80,80,-9.154606129905329,9.008286255659751,83.37865249055145,200,17.568715778378287,False,0.8536801257544226,-0.4347261849204006,0.7568044141573977
GD,-80,90,-3.50713123933426e-05,89.92685811639296,3.1192226399548066,200,0.00030835018815077045,False,90.92682304508057,-5.6011955257076185e-06,0.0002502687155219964
GD,-80,100,0.002465379517383422,99.95708750738781,3.1214861586037306,200,0.005137040781978044,False,100.9595528869052,-4.070287836993247e-06,0.0002022969684594702
GD,-70,-100,-0.00016369432249387946,-100.03944631261946,-3.121696197472797,200,0.00023651957067744142,False,-99.03961000694196,3.940417707848307e-06,0.00019797146414820052
GD,-70,-90,-0.00020549426248657327,-90.04864114627391,-3.1194999218552923,200,0.00029569691275741427,False,-89.0488466405364,5.3953547884680636e-06,0.0002441004820921272
GD,-70,-80,-0.00026467565823530006,-80.06146905642215,-3.1167595694218475,200,0.0003793881173066807,False,-79.06173373208038,7.663771442824801e-06,0.0003084302890126759
GD,-70,-70,-0.00035207230361682356,-70.08012856882132,-3.1132451800429948,200,0.0005028752329239154,False,-69.08048064112494,1.1402701782293844e-05,0.00040194055975321
GD,-70,-60,-0.0004883212835084685,-60.10876935791778,-3.1085769368992713,200,0.0006952750107395869,False,-59.109257679201285,1.802191413716927e-05,0.0005452949120756242
GD,-70,-50,-0.0007166946614889312,-50.156000515273924,-3.1020812088021064,200,0.0010176485510587072,False,-49.156717209935415,3.0909469760576594e-05,0.0007811388150578118
GD,-70,-40,-0.0011407622839756117,-40.24212340390706,-3.092446792794633,200,0.001616163875375808,False,-39.24326416619103,5.955148165192048e-05,0.0012089843294859964
GD,-70,-30,-0.002062223069630925,-30.42461228889811,-3.076789662530233,200,0.00291701152920289,False,-29.426674511967743,0.00013685358790709045,0.0021036252656269887
GD,-70,-20,-0.004709710925153728,-20.9178801272832,-3.0478208408930705,200,0.006673771366762076,False,-19.922589838208356,0.00041707561338026166,0.0044126669395315845
GD,-70,-10,-0.021325267499210186,-12.888191700864768,-2.9903969756736397,200,0.03321770218689942,False,-11.909516968363977,0.0017655228303648587,0.011479413784275097
GD,-70,0,-0.009887281512086652,-10.449285089473268,-2.9560781543178054,200,0.017607107024819872,False,-9.459172370985355,0.0033319942485291183,0.01745344125084978
GD,-70,10,-0.07670141107880499,-7.439406357617188,-2.8787310424866592,200,0.12419598847486647,False,-6.516107768695993,0.009170399034762236,0.03393208427623822
GD,-70,20,-0.005030513156923159,18.87214303206388,3.0321083096574872,200,0.007253221342748952,False,19.867112518906957,-0.000667629084639692,0.006029786543678483
GD,-70,30,-0.0017222569754029018,29.53157718241773,3.072544264755227,200,0.002612010355706116,False,30.52985492544233,-0.0001657366267425286,0.0023894375805122263
GD,-70,40,-0.00021924522198584406,39.74119232920184,3.0905621105361147,200,0.0015646467067578335,False,40.74097308397985,-6.669205594410049e-05,0.001303676497411099
GD,-70,50,0.001577952382655923,49.834218317187634,3.101024699641665,200,0.004063869754427676,False,50.83579626957029,-3.3467361086145396e-05,0.0008236272992506599
GD,-70,60,0.008943559578297074,59.877599414536405,3.107976672883328,200,0.01846387564202079,False,60.886542974114704,-1.9160643426383482e-05,0.0005680172589815339
GD,-70,70,0.18202350818837842,-3.5718344784329523,-2.52870698521203,200,0.5759365344900506,False,-2.389810970244574,0.11805660322931513,0.18228252847173504
GD,-70,80,-4.521268456424642e-05,79.91357414395453,3.1164003753908562,200,0.0003902358873698033,False,80.91352893126997,-8.00143441736287e-06,0.00031742186341415747
GD,-70,90,0.0024168393224753316,89.94757765232681,3.1192342774219943,200,0.005089967694770697,False,90.94999449164929,-5.596839627774214e-06,0.00025013897819410645
GD,-70,100,0.000953620002746766,99.95860172899066,3.1214809903967486,200,0.002119214538829663,False,100.9595553489934,-4.070287534483346e-06,0.00020229695843806289
GD,-60,-100,-0.00015926890317546804,-100.03945073106495,-3.121696198900664,200,0.00023179504630898293,False,-99.03960999996812,3.940417708668899e-06,0.00019797146417568036
GD,-60,-90,-0.00020015583338543692,-90.048646473185,-3.119499924018015,200,0.00028980507170729426,False,-89.04884662901839,5.395354790528889e-06,0.00024410048215427101
GD,-60,-80,-0.00025815381322747723,-80.06147555828198,-3.1167595728254964,200,0.0003719438541410995,False,-79.0617337120952,7.663771448535049e-06,0.0003084302891658377
GD,-60,-70,-0.0003439876613274251,-70.08013661660948,-3.113245185655577,200,0.0004933275780455995,False,-69.0804806042708,1.1402701800183304e-05,0.00040194056017344663
GD,-60,-60,-0.00047812676454205656,-60.10877947901149,-3.108576946711706,200,0.0006828129512425913,False,-59.10925760577603,1.8021914202803712e-05,0.000545294913398888
GD,-60,-50,-0.0007035730550439337,-50.15601347489218,-3.1020812273117655,200,0.0010010309602476073,False,-49.15671704794722,3.090947005798275e-05,0.0007811388200647813
GD,-60,-40,-0.001123428362282508,-40.24214032612252,-3.0924468315441893,200,0.0015933682015781268,False,-39.2432637544848,5.9551483465494106e-05,0.001208984354003713
GD,-60,-30,-0.002038449464891939,-30.424634769784912,-3.0767897572986067,200,0.00288427603706047,False,-29.426673219249803,0.00013685360520450293,0.002103625442540088
GD,-60,-20,-0.0046744314687653206,-20.91790964190163,-3.047821146522196,200,0.006621001278688055,False,-19.922584073370395,0.0004170759555961812,0.0044126693439058996
GD,-60,-10,-0.021247144405902415,-12.888219836483852,-2.9903997277330405,200,0.033071074455378116,False,-11.909466980889755,0.0017655433732588258,0.011479502038815509
GD,-60,0,-0.009887482942262597,-10.449288350626723,-2.9560782107685517,200,0.01760715022253403,False,-9.459175833568986,0.0033319909040624013,0.017453429713546825
GD,-60,10,-0.10183558997201407,-7.43850668545475,-2.8750633048960443,200,0.17327119713767578,False,-6.540342275426764,0.00907929671885259,0.033710950568832776
GD,-60,20,-0.004836779543257615,18.871895963946034,3.03210607643459,200,0.007045251878416385,False,19.867059184402777,-0.0006676350291666652,0.006029822151503213
GD,-60,30,-0.0012673854868756125,29.531091911555894,3.0725428322146278,200,0.002393858049119583,False,30.529824526069017,-0.00016573715209353764,0.0023894426188097997
GD,-60,40,0.0010938088586218168,39.739844125127064,3.0905632130612037,200,0.003726758669971679,False,40.740937933985684,-6.669223604890375e-05,0.0013036788416396418
GD,-60,50,0.00866425924098117,49.827036923520645,3.1010972007798956,200,0.018170824944515558,False,50.835701182761625,-3.3467555202892466e-05,0.000823630481564449
GD,-60,60,-0.03264417766223887,-5.965636341943008,-2.8186838419769615,200,0.0550730873798065,False,-4.998280519605247,0.01859676276770262,0.05387811609880983
GD,-60,70,-6.053571165540427e-05,69.89412467981771,3.112760276201335,200,0.000509686857167082,False,70.89406414410605,-1.1998560301427951e-05,0.0004158183791172472
GD,-60,80,0.0023486913262841733,79.93424647883394,3.116413209298178,200,0.0050246446278161576,False,80.93659517016023,-7.994457788517138e-06,0.0003172373808943175
GD,-60,90,0.0009055406976790116,89.94909233570178,3.119229257160297,200,0.0020763426617940593,False,90.94999787639945,-5.5968389918200406e-06,0.0002501389592502037
GD,-60,100,0.00044063026958323097,99.95911555414023,3.1214802753296755,200,0.001102279865217301,False,100.9595561844098,-4.0702874318380735e-06,0.00020229695503767799
GD,-50,-100,-0.00015393202945144832,-100.03945605952836,-3.1216962005705127,200,0.0002264267718481646,False,-99.03960999155781,3.940417709658517e-06,0.0001979714642088205
GD,-50,-90,-0.0001936369523721929,-90.04865297800099,-3.1194999265816703,200,0.00028299059054928493,False,-89.04884661495336,5.395354793045432e-06,0.00024410048223015676
GD,-50,-80,-0.0002500752316128761,-80.06148361210782,-3.1167595769236307,200,0.0003631609401639599,False,-79.06173368733944,7.66377145560837e-06,0.00030843028935556024
GD,-50,-70,-0.00033380668926747634,-70.08014675117124,-3.1132451925375286,200,0.0004818072856162684,False,-69.08048055786051,1.1402701822711441e-05,0.00040194056070264934
GD,-50,-60,-0.00046503918582545224,-60.108792472327984,-3.108576959004064,200,0.000667386584273636,False,-59.10925751151381,1.80219142870642e-05,0.0005452949150976735
GD,-50,-50,-0.0006863395089520289,-50.1560304956879,-3.1020812510986997,200,0.0009798457349835894,False,-49.15671683519685,3.0909470448586945e-05,0.0007811388266407823
GD,-50,-40,-0.001100030541463047,-40.24216316821213,-3.0924468828964122,200,0.0015632902050676334,False,-39.243263198753596,5.955148591350055e-05,0.0012089843870983314
GD,-50,-30,-0.0020052649075278364,-30.424666149902293,-3.0767898876916124,200,0.0028392823715825428,False,-29.42667141480982,0.00013685362934909626,0.002103625689484227
GD,-50,-20,-0.004623072244947668,-20.917952608862635,-3.047821587002475,200,0.0065447788182450475,False,-19.92257568110758,0.000417076453783611,0.004412672844119023
GD,-50,-10,-0.021127071362631932,-12.888263081797527,-2.990403933784795,200,0.03284588622552585,False,-11.909390153160158,0.0017655749470727481,0.01147963768271725
GD,-50,0,-0.009887817026354905,-10.449293750976897,-2.956078304247429,200,0.01760722191410686,False,-9.459181568003252,0.0033319853652531914,0.017453410606479893
GD,-50,10,-0.11939408882781832,-7.44069819356033,-2.8718428693756466,200,0.20797684932806362,False,-6.5600922823881485,0.009005953941601244,0.03353235997736327
GD,-50,20,-0.004420779675882773,18.871365425606736,3.032101534640188,200,0.006653203247439716,False,19.866944645930854,-0.00066764779557051,0.0060298986221303755
GD,-50,30,2.0765556897890062e-05,29.52971765593074,3.0725410206372934,200,0.003408695776969549,False,30.529738421487636,-0.00016573864013394484,0.002389456889601963
GD,-50,40,0.00813382739868014,39.73261552392304,3.0906279299391213,200,0.017619642991871076,False,40.74074935132172,-6.66932023373508e-05,0.001303691418730294
GD,-50,50,-0.10662668708499183,-7.226572542684352,-2.866881069509885,200,0.18112646532259255,False,-6.333199229769344,0.009899477062322155,0.035674958273021376
GD,-50,60,-8.534214563124998e-05,59.863995214202106,3.1078838320066207,200,0.0006937976845246506,False,60.863909872056475,-1.9182614937355296e-05,0.0005684511723580727
GD,-50,70,0.0022487501799540515,69.91473019837207,3.1127748546618674,200,0.004930585880426096,False,70.91697894855203,-1.1986663056136804e-05,0.00041554357079589383
GD,-50,80,0.0008381158837389808,79.93576188733797,3.116408396918694,200,0.002018553596709289,False,80.93660000322171,-7.994456327556703e-06,0.00031723734225661503
GD,-50,90,0.0003927073461043812,89.94960631753244,3.1192285916626803,200,0.0010653360256070797,False,90.94999902487855,-5.5968387760345416e-06,0.00025013895282235125
GD,-50,100,0.0002066144337654549,99.959349951068,3.1214801239412595,200,0.0006479167336387562,False,100.95955656550177,-4.0702873850143726e-06,0.00020229695348652414
GD,-40,-100,-0.00014741504773606092,-100.03946256624027,-3.1216962025323527,200,0.0002203957692410814,False,-99.03960998128801,3.9404177108669345e-06,0.0001979714642492878
GD,-40,-90,-0.00018556204224252709,-90.04866103548902,-3.119499929639415,200,0.0002751727475183826,False,-89.04884659753127,5.395354796162629e-06,0.00024410048232415517
GD,-40,-80,-0.00023990189174876532,-80.06149375427309,-3.116759581898719,200,0.0003528429083202218,False,-79.06173365616483,7.663771464515708e-06,0.0003084302895944753
GD,-40,-70,-0.0003207365018430802,-70.08015976177786,-3.113245201068583,200,0.00046790170527610114,False,-69.08048049827971,1.140270185163271e-05,0.00040194056138203145
GD,-40,-60,-0.0004478503306803163,-60.1088095373821,-3.108576974628081,200,0.0006481749241640925,False,-59.10925738771278,1.802191439772927e-05,0.0005452949173288051
GD,-40,-50,-0.0006630771775004005,-50.156053470843496,-3.102081282264954,200,0.000952480864286083,False,-49.156716548020995,3.090947097583443e-05,0.000781138835517236
GD,-40,-40,-0.001067370521482064,-40.24219505251382,-3.092446952745943,200,0.0015227175247874657,False,-39.243262423035304,5.955148933055448e-05,0.0012089844332935098
GD,-40,-30,-0.0019569553643554376,-30.424711832590745,-3.076790073578744,200,0.0027753149687224444,False,-29.4266687879551,0.00013685366449814963,0.002103626048978875
GD,-40,-20,-0.004544133634677632,-20.918018648854822,-3.0478222537315505,200,0.006429063853291342,False,-19.9225627824895,0.00041707721948203597,0.004412678223833849
GD,-40,-10,-0.020928571966695585,-12.888334577382578,-2.990410823832619,200,0.03247408955142457,False,-11.909263149349274,0.001765627143363921,0.011479861920778472
GD,-40,0,-0.009888432893257061,-10.449303678960938,-2.956078476093866,200,0.017607354221637558,False,-9.459192111854195,0.0033319751811285874,0.01745337547457655
GD,-40,10,-0.21127158753349035,-7.443138537996962,-2.8445852859709526,200,0.3912130436030684,False,-6.654410125530452,0.008666511757819894,0.03269908392874475
GD,-40,20,-0.0032427464555266194,18.869862933776364,3.032090550264151,200,0.006047285239310594,False,19.866620187320837,-0.000667683961349154,0.006030115252073184
GD,-40,30,0.006927125529914601,29.52234923249031,3.0725879011757633,200,0.01641859939750277,False,30.529276358020226,-0.0001657466257179432,0.002389533473217611
GD,-40,40,-0.0792366137040737,-8.144132909806478,-2.900244125678636,200,0.13322755936025257,False,-7.223369523510552,0.006945265858185189,0.02828221904319867
GD,-40,50,-0.00012964578888633132,49.8136068237268,3.1010038355632794,200,0.0009994562387227186,False,50.81347717793791,-3.351296605532218e-05,0.0008243747691260523
GD,-40,60,0.002093646551719083,59.8845019081206,3.1079010988479188,200,0.0047891136469277625,False,60.88659555467232,-1.9160592421912616e-05,0.0005680162515055593
GD,-40,70,0.0007393769954719238,69.91624681389229,3.1127703474723423,200,0.0019393399162090559,False,70.91698619088776,-1.1986659298442328e-05,0.0004155434839844693
GD,-40,80,0.00032552790795743313,79.93627611520482,3.116407800969113,200,0.0010189362775841467,False,80.93660164311278,-7.994455831842839e-06,0.0003172373291465779
GD,-40,90,0.00015876284621860193,89.9498407859327,3.1192284627803097,200,0.0006203326852591397,False,90.9499995487789,-5.596838677599928e-06,0.00025013894989016545
GD,-40,100,8.056220025661007e-05,99.95947620857382,3.1214800877835294,200,0.0004159316494180282,False,100.95955677077407,-4.07028735979314e-06,0.00020229695265100688
GD,-30,-100,-0.00013934249025711342,-100.03947062607654,-3.1216962048447017,200,0.000213792825830553,False,-99.0396099685668,3.9404177123638035e-06,0.0001979714642994147
GD,-30,-90,-0.00017539332586727103,-90.04867118226575,-3.119499933304512,200,0.0002663962917288434,False,-89.04884657559161,5.3953548000881156e-06,0.0002441004824425274
GD,-30,-80,-0.00022684150241694017,-80.06150677464076,-3.1167595879822256,200,0.00034092168444358335,False,-79.06173361614317,7.663771475950862e-06,0.0003084302899011922
GD,-30,-70,-0.00030357048788961886,-70.08017684954007,-3.113245211753993,200,0.00045129084336377023,False,-69.08048042002795,1.1402701889617098e-05,0.000401940562274313
GD,-30,-60,-0.0004246483241650438,-60.108832572278736,-3.1085769947806767,200,0.0006243105002879425,False,-59.1092572206029,1.8021914547107894e-05,0.0005452949203404451
GD,-30,-50,-0.0006306062804201773,-50.15608554088542,-3.1020813239588927,200,0.0009168689489558295,False,-49.15671614716584,3.090947171179422e-05,0.0007811388479074572
GD,-30,-40,-0.0010198245844806313,-40.24224146917905,-3.0924470506183184,200,0.0014668494516861224,False,-39.24326129376353,5.955149430501874e-05,0.0012089845005433283
GD,-30,-30,-0.0018827039965819163,-30.42478204655066,-3.076790350185506,200,0.0026808137332217158,False,-29.426664750547243,0.0001368537185213604,0.0021036266015130446
GD,-30,-20,-0.0044136334627671815,-20.918127825763065,-3.047823328628901,200,0.006241820445868012,False,-19.922541459225833,0.00041707848529535965,0.004412687117294865
GD,-30,-10,-0.02056474124971151,-12.888465636177838,-2.9904232481371618,200,0.03179421794902363,False,-11.909030377427548,0.0017657228138377532,0.011480272920336248
GD,-30,0,-0.009889770649024843,-10.449325125670862,-2.9560788473004305,200,0.01760764226354314,False,-9.459214896319887,0.0033319531741475483,0.017453299557553058
GD,-30,10,-0.021780435090543608,-7.425823375229238,-2.881793557387982,200,0.035719521195369724,False,-6.447603810319782,0.009434687485241313,0.03456928744248865
GD,-30,20,0.003072282095010693,18.861805887890377,3.032078968198361,200,0.013587769020337941,False,19.86487816998539,-0.0006678781801943508,0.006031278538263766
GD,-30,30,-0.08060546838537386,-8.881843809705602,-2.9191913061997896,200,0.13947286319335225,False,-7.9624492780909755,0.005332866820762337,0.023780313303752916
GD,-30,40,-0.00022172769803345972,39.719489618220145,3.0905337993616717,200,0.0015639139806279546,False,40.71926789052211,-6.680339473316224e-05,0.001305125269254002
GD,-30,50,0.0018337823028843061,49.833959055889714,3.101025569639301,200,0.004566088903698704,False,50.835792838192596,-3.3467368091169554e-05,0.0008236274140898282
GD,-30,60,0.0005864278622928819,59.8860206914307,3.1078970659585634,200,0.0018311954226365394,False,60.886607119293,-1.9160581203962338e-05,0.0005680160299206408
GD,-30,70,0.00022719694054603682,69.91676145129446,3.1127698534335857,200,0.0009640888602766917,False,70.916988648235,-1.198665802344515e-05,0.0004155434545290866
GD,-30,80,9.169533968905838e-05,79.93651069583774,3.116407703646043,200,0.0005926785942997957,False,80.93660239117743,-7.994455605714409e-06,0.0003172373231662082
GD,-30,90,3.274903709862972e-05,89.94996708193644,3.119228438717756,200,0.0004027359227083544,False,90.94999983097354,-5.596838624578932e-06,0.0002501389483107676
GD,-30,100,4.974038564713309e-06,99.95955191982789,3.121480081342903,200,0.0002932098383461784,False,100.95955689386645,-4.070287344669126e-06,0.00020229695214998554
GD,-20,-100,-0.00012917673656740345,-100.03948077581043,-3.12169620757123,200,0.0002069750895282386,False,-99.039609952547,3.9404177142488076e-06,0.00019797146436253938
