method,x0_x,x0_y,x_final_x,x_final_y,f_final,nit,grad_norm,success,u,A,g_prime
Newton,-30,0,0.0,-19959.32224683499,-3.14149245229617,16,7.099563714562358e-09,True,-19958.32224683499,5.030254935546339e-13,5.0201496460329975e-09
Newton,-30,10,0.0,-20033.873608497768,-3.1414928251624796,17,7.04682461875353e-09,True,-20032.873608497768,4.974308298835355e-13,4.982857473752929e-09
Newton,-30,20,0.0,-22585.606646591503,-3.1415041035781064,19,5.5444982340790735e-09,True,-22584.606646591503,3.4716495455640246e-13,3.920552299594151e-09
Newton,-30,30,0.0,2.058823529411768,1.3135818775576427,1,1.5458914976361866,False,3.058823529411768,-0.17387541138713652,1.0931103609571753
Newton,-30,40,0.0,14.478818704053847,2.9971129852873504,200,0.014901783012187352,False,15.478818704053847,-0.0015509398069538025,0.010537151819688173
Newton,-30,50,0.0,29.606430318569256,3.072723786075624,200,0.0033612981584435478,False,30.606430318569256,-0.00016442030924078137,0.0023767967214252867
Newton,-30,60,0.0,44.65367168622977,3.096251765916571,200,0.0014550931666847215,False,45.65367168622977,-4.674284042100694e-05,0.001028906245420974
Newton,-30,70,0.0,59.67768745330247,3.107777632707184,200,0.0008089871811066202,False,60.67768745330247,-1.936467623477386e-05,0.0005720403216534808
Newton,-30,80,0.0,74.6921595946767,3.1146262401027585,200,0.0005143780782177484,False,75.6921595946767,-9.815049662670325e-06,0.0003637202272014742
Newton,-30,90,0.0,89.70181922835451,3.119166185165554,200,0.00035572248724412286,False,90.70181922835451,-5.643729057722003e-06,0.0002515337829508644
Newton,-30,100,0.0,104.70872008473671,3.122397014240044,200,0.0002605954199791827,False,105.70872008473671,-3.538404802068526e-06,0.0001842687886134364
Newton,-20,-100,0.0,-23445.580921792385,-3.1415073514869114,13,5.145226276342664e-09,True,-23444.580921792385,3.103481934513788e-13,3.6382243907411073e-09
Newton,-20,-90,0.0,-21498.882285734682,-3.141499627660875,13,6.1191772708048095e-09,True,-21497.882285734682,4.025149876204487e-13,4.326911743468672e-09
Newton,-20,-80,0.0,-19552.08360001123,-3.1414903653167476,13,7.398381074475884e-09,True,-19551.08360001123,5.351155236839563e-13,5.2314454275641134e-09
Newton,-20,-70,0.0,-17605.151783095225,-3.1414790537051083,13,9.12516625751539e-09,True,-17604.151783095225,7.329995094005087e-13,6.452466940143802e-09
Newton,-20,-60,0.0,-23487.305882715616,-3.141507503022008,14,5.126962017825905e-09,True,-23486.305882715616,3.0869717380831493e-13,3.6253096096905624e-09
Newton,-20,-50,0.0,-20566.24429048948,-3.1414954092238006,14,6.686731772181249e-09,True,-20565.24429048948,4.597940614786939e-13,4.7282333800849015e-09
Newton,-20,-40,0.0,-17644.600400898096,-3.1414793076769407,14,9.084410149392796e-09,True,-17643.600400898096,7.280942576014411e-13,6.4236480197155435e-09
Newton,-20,-30,0.0,-22083.296117341542,-3.141502089449587,15,5.799593315872613e-09,True,-22082.296117341542,3.713973619696766e-13,4.1009317617777e-09
