method,x0_x,x0_y,x_final_x,x_final_y,f_final,nit,grad_norm,success,u,A,g_prime
BFGS,-80,-80,4.039291780509781e-06,-4876543.578468549,-3.141592243446968,52,8.07858364512144e-06,True,-4876542.57846451,3.4492409145837703e-20,8.410187678603464e-14
BFGS,-80,-70,-1.254285673022881e-06,-3960820.7529091565,-3.141592148642434,53,2.5085712185606414e-06,True,-3960819.752910411,6.437307576532146e-20,1.2748512330320195e-13
BFGS,-80,-60,4.878456319758465e-06,-11940292.616686735,-3.141592486065919,57,9.756912653545068e-06,True,-11940291.616681857,2.3497141200307033e-21,1.4028137666785821e-14
BFGS,-80,-50,-1.6866470119794585e-06,-2083.9873658972547,-3.14063318464829,25,2.949145088249625e-06,True,-2082.9873675839017,4.416348512726479e-10,4.602905251640594e-07
BFGS,-80,-40,-1.7478432126304992e-06,-7858761.195173738,-3.141592399093718,57,3.49568639287765e-06,True,-7858760.195175486,8.241336220386421e-21,3.238334870291455e-14
BFGS,-80,-30,3.488968848843591e-06,-1994487.6080030543,-3.1415916508140582,52,6.977938200454582e-06,True,-1994486.6079995653,5.041568098115185e-19,5.027673808673094e-13
BFGS,-80,-20,4.223419023800924e-06,-3358813.7394010643,-3.141592058123724,53,8.446838224881148e-06,True,-3358812.739396841,1.055606447860571e-19,1.772792984135699e-13
BFGS,-80,-10,-1.940716584876884e-06,-450198.6298191225,-3.1415882111074267,47,3.8814233019582555e-06,True,-450197.6298210632,4.383752612102943e-17,9.867808056317841e-12
BFGS,-80,0,-1.6108967302972424e-10,-589.0945124147868,-3.1382004730568807,24,8.136416127936327e-06,True,-588.0945124149479,1.951704485625739e-08,5.753476106037187e-06
BFGS,-80,10,-5.85446987353805e-06,-447.3607727285173,-3.137126937406677,28,1.012165773139461e-05,True,-446.36077858298717,4.453031817829855e-08,9.971405641264519e-06
BFGS,-80,20,7.260502434044105e-07,-11471.563571906445,-3.141418317035366,38,1.4673757966889683e-06,True,-11470.563571180395,2.649325956732531e-12,1.519661723426263e-08
BFGS,-80,30,-4.318606820377392e-06,-24615.48248183931,-3.1415114055442785,45,8.633913650699642e-06,True,-24614.482486157918,2.681689409136291e-13,3.3006209451101723e-09
BFGS,-80,40,-3.466202663330413e-06,-45227.80634794805,-3.141548433482816,39,6.931427687215681e-06,True,-45226.80635141425,4.32343583832167e-14,9.777084001832278e-10
BFGS,-80,50,3.6630611202459904e-06,-2180.1344649480397,-3.1406754889430313,31,7.758127274414184e-06,True,-2179.1344612849784,3.8575576779438803e-10,4.205956518575131e-07
BFGS,-80,60,-2.9609081022288012e-06,-980.0165793160123,-3.1395529083861566,19,4.368632494249711e-06,True,-979.0165822769204,4.243266980861437e-09,2.0802843772116598e-06
BFGS,-80,70,9.498404812746458e-07,-12815.32206967663,-3.141436596489111,39,1.911896649774297e-06,True,-12814.32206872679,1.9002931999104884e-12,1.2176909337935449e-08
BFGS,-80,80,-4.5245164935932145e-06,-6918.107879165828,-3.141303578062557,41,9.007347569434244e-06,True,-6917.107883690344,1.2078248023324711e-11,4.178232597860395e-08
BFGS,-80,90,2.23473623951525e-06,-60878.746375763265,-3.1415598016669426,49,4.470012135856192e-06,True,-60877.74637352853,1.772769167454612e-14,5.396242537071383e-10
BFGS,-80,100,-2.2982043205897364e-06,-5607.491820936866,-3.141236019661901,38,4.5332608384618065e-06,True,-5606.49182323507,2.2679738090025398e-11,6.359388125396898e-08
BFGS,-70,-100,-3.917235404915826e-07,-4968404.0820208825,-3.141592251045932,56,7.834469999624513e-07,True,-4968403.082021275,3.261438025871441e-20,8.102071815857157e-14
BFGS,-70,-90,8.971515889259703e-07,-15965104.362977818,-3.1415925283157744,60,1.7943031856986297e-06,True,-15965103.36297692,9.829799623280703e-22,7.846689088386195e-15
BFGS,-70,-80,1.5700779382555115e-06,-50865307.02786737,-3.141592614267798,64,3.140155877284036e-06,True,-50865306.0278658,3.0394497493183224e-23,7.730127310728536e-16
BFGS,-70,-70,-1.5089183436962706e-06,-13288024.275230864,-3.141592503076057,59,3.0178366760656914e-06,True,-13288023.275232373,1.7048206758154268e-21,1.1326849688781527e-14
BFGS,-70,-60,-3.977523386209619e-07,-36864596.80233279,-3.141592599337042,65,7.955046757702519e-07,True,-36864595.80233318,7.984201867342654e-23,1.4716719331006118e-15
BFGS,-70,-50,3.244883268654084e-06,-69536.5426520248,-3.141563891930442,42,6.490180166709602e-06,True,-69535.54264877991,1.189628452358243e-14,4.1361622164733565e-10
BFGS,-70,-40,-1.9060841728345435e-07,-81666909.71470223,-3.141592629100034,67,3.812168342670354e-07,True,-81666908.71470243,7.343813123185687e-24,2.998732634823792e-16
BFGS,-70,-30,-2.9946500299495673e-06,-20459881.32602822,-3.14159255582855,62,5.989300055121381e-06,True,-20459880.326031215,4.670362907921064e-22,4.7777536590371575e-15
BFGS,-70,-20,-4.861447126497326e-07,-11146281.366368756,-3.1415924741575254,61,9.722894092015382e-07,True,-11146280.366369242,2.8884837426398537e-21,1.6097926980943736e-14
BFGS,-70,-10,1.4681944497305687e-07,-24509364.022673793,-3.141592571988309,63,2.9363889327551317e-07,True,-24509363.022673648,2.716838595547848e-22,3.3293993743775147e-15
BFGS,-70,0,2.0899469017920426e-14,-553.2767905888331,-3.1379810675971673,23,9.223242720491803e-06,True,-552.2767905888331,2.3554398969461523e-08,6.521817451289745e-06
BFGS,-70,10,-9.225498166556801e-08,-52940.7277413471,-3.1415548758485667,43,1.8379776967407337e-07,True,-52939.727741439354,2.6957397784417878e-14,7.135788662467849e-10
